作者,ふりがな,ピンイン,時代,作者紹介,作者簡介
韋応物,いおうぶつ,wéi yìng wù,漢,京兆府長安県（陝西省西安市）出身の詩人。736年〜没年不詳。主な作品として『韋蘇州集』10巻がある。,唐代诗人。京兆万年人。曾任滁州、江州、苏州刺史，世称“韦苏州”。其诗多写山水田园，清丽闲淡。
于謙,うけん,yú qīan,魏,浙江省杭州市出身の政治家。1398〜1457年。北京に迫るエセンの侵攻を撃退するなどの功績を残すも、後年英宗が再び帝位につく際に誣告され、処刑される。,明代名臣、诗人。字廷益，号节庵。官至兵部尚书。其诗多表现忧国忧民之情，名篇有《石灰吟》。
袁枚,えんばい,yúan méi,唐,浙江省杭州、銭塘出身の詩人。1716〜1797年。主な著書に随園食単という料理本や随園女弟子詩選という詩集がある。,清代诗人、散文家。字子才，号随园老人。倡导“性灵说”，为“乾隆三大家”之一。著有《随园诗话》。
王安石,おうあんせき,wáng ān shí,北朝,江西省撫州市出身の政治家＆作家。1021〜1086年。制置三司条例司を設置するなどの政策で有名。また、仁宗皇帝に上奏した万言書で、唐宗の八大作家の一人に数えられている。,北宋政治家、文学家，“唐宋八大家”之一。字介甫，号半山。发起熙宁变法。其诗文雄健峭拔。
王維,おうい,wáng wéi,宗,山西省太原の祁人県出身の詩人。晩年の官職は高級官僚である尚書右丞。699年 - 759年。自然を題材にした詩を多く残した事で「詩仏」の異名を取る。,唐代著名诗人、画家，被称为“诗佛”。字摩诘。开创了淡雅幽静的山水田园诗派，“诗中有画”。
王翰,おうかん,wáng hà n,元,山西省太原(并州晋陽)出身の詩人。687年〜。凉州詞とは甘粛省武威県で流行った詩の事だけど、王翰の詩で一躍有名になった。お酒と女好きの役人で、最後は道州司馬へ流されて一生を終えた。,唐代诗人。字子羽。性格豪放，以边塞诗著称。其《凉州词》“葡萄美酒夜光杯”广为传诵。
翁巻,おうけん,wēng jūan,明,浙江省、温州楽清出身の詩人。生没年月日不明。生涯仕官せず、平民として一生を過ごした。,南宋诗人。字续古，一字灵舒。永嘉四灵之一。擅长五言律诗，诗风清淡，多描写山水田园及隐逸生活。
王之渙,おうしかん,wáng zhī hùan,清,山西省太原市出身の詩人。688〜742年。地方官吏止まりの絶句に長けた詩人。,唐代诗人。字季凌。常与高适、王昌龄唱和，擅长描写边塞风光。代表作有《登鹳雀楼》。
王昌齢,おうしょうれい,wáng chàng líng,唐,山西省太原出身の詩人。698〜755年。安禄山の乱の時に官職を辞し、刺史の閭丘暁に殺されて生涯を終えている。,唐代著名的边塞诗人，被誉为“七绝圣手”。其诗意境开阔，情感深沉，擅长表现征人思妇之情。
王磐,おうばん,wáng pán,明,江蘇省高郵出身の作曲家。1470〜1530年。裕福な家の生まれで勉強家だが、縛られる事が嫌いで仕官する事はなかった。,明代散曲家、画家。字备远，号本斋。其散曲多反映民间疾苦，讽刺贪官污吏，语言生动活泼。
王冕,おうべん,wáng mían,元,浙江省出身の詩人＆画家。1310〜1359年。篆刻(印章を掘る事)にも長けていた。科挙に落ち、生涯仕官する事はなかったが、学識に富み、特に梅の花を画題とした花鳥画は日本の画家にも影響を与えた。浙江省の紹興市近郊の蘭亭で没す。,唐代诗人，“初唐四杰”之首。字子安。才华横溢，十四岁即举幽素科。代表作有《滕王阁序》。
温庭筠,おんていいん,wēn tíng yún,唐,山西省太原出身の詩人。812年〜。唐末期を代表する詩人の一人だが、自信の軽率な行動と性格のために不遇な生涯を送った。,唐代诗人、词人，“花间派”鼻祖。字飞卿。其诗词辞藻华丽，意象密集，对后世词学影响深远。
楽府,がくふ,lè fù,前漢,作者不明の民歌,乐府本是汉武帝时设立的音乐机关，后指由该机关采集保存的民歌，反映了当时的社会现实。
賀知章,がちしょう,hè zhī zhāng,唐,浙江省会稽出身の詩人＆書道家。659〜744年。官職としては礼部侍郎、工部侍郎などを歴任している。詩人としては晩年「四明狂客」と自称し、人々からは「詩狂」と呼ばれた。,唐代诗人、书法家。字季真，号四明狂客。性格旷达，与李白交好。其诗自然清新。
賈島,かとう,jĭa dăo,唐,河北省涿州市出身の詩人。主な詩集は「長江集」10巻で収録している詩は370首。特筆すべき出来事の一つに、ロバの上で作詩に夢中になり、「推す」か「敲く」で迷っている内に知事、韓愈の行列にぶつかってしまい、その出来事から文章を練り直すという意味の「推敲」という故事が生まれた事が挙げられる。,唐代诗人。字浪仙，人称“诗奴”。以苦吟著称，讲究炼字造句。与孟郊并称“郊寒岛瘦”。
韓翃,かんこう,hán hóng,唐,河南省出身で出生＆生没年月日は不詳。節度師(地方防衛のための役職)の元で活躍した経歴があり、大暦十才子という唐初期に活躍した十人の詩人の内の一人に選ばれている。,唐代诗人，“大历十才子”之一。字君平。其诗笔法轻快，色彩明丽。代表作《寒食》广为传诵。
龔自珍,きょうじちん,xí zì zhēn,清,浙江省杭州出身の思想家＆文学者。1792〜1841年。礼部主事等を歴任した経歴を持つ。主な著書に『春秋決事比』、『五経大義始終論』、『答問九章』などがある。,清代思想家、诗人。字璱人，号定庵。近代改良主义先驱。其诗风格瑰丽，充满了忧国忧民的热情。
高適,こうせき,gāo shì,唐,河北省出身の役人＆詩人。702？〜765年。人民の悲痛や辺境を守る兵士の苦難を描いた、いわゆる辺寒詩で一躍有名になる。また、勅使、西川節度師まで歴任したエリート。主な著書は高常侍集。,唐代著名的边塞诗人。字达夫。其诗气势雄浑，笔力浑厚，反映了边塞生活的艰辛与壮丽。
高鼎,こうてい,gāo dĭng,清,浙江省杭州出身の詩人。生没年月日不詳。また、詳しい史料が残っていないため、彼の人生の履歴も謎が多い。主な詩に「村居」がある。,清代诗人。字象一，号省三。仁和（今浙江杭州）人。其诗多描写自然景色及乡村生活，《村居》是其名篇。
胡令能,これいのう,hú líng néng,唐,785〜826年。唐代の詩人、隠居人。貧しい家に生まれ、若い時は鍋やお椀の修理をして生活していたため、「胡釘鉸」（直訳すると釘とハサミ）と呼ばれていた。彼の詩は簡明で分かりやすく、構想が巧みであり、生活情緒が濃いのが特徴。現在は七言絶句4首しか残っていないが、どれも生き生きとして真に迫っている。,唐代诗人。曾为手工匠人（补锅匠），故人称“胡钉铰”。其诗语言通俗，生动有趣。
朱熹,しゅき,zhū xī,南宋,1130年9月15日～1200年4月23日。字は元晦（げんかい）もしくは仲晦。号は晦庵。朱子学の創始者であり、尊称の「朱子」が一般に知れ渡っている呼び方である。1148年に科挙に合格し仕官を始める。偉大な文学、思想、四書を残すなどの功績、ひいては徳川幕府のイデオロギーにまでなり、日本に多大な影響を及ぼした、正に偉人である。,南宋理学家、教育家、诗人，理学集大成者。字元晦，号晦庵。其诗讲究理趣，语言简练。
辛棄疾,しんきしつ,xīn qì jí,金,1140年～1207年、安徽省亳県出身。政治家で詩人。字は幼安、号は稼軒。金の南宋への進攻失敗時に2000人の民衆を率いての反乱を皮切りに、南宋で建康通判等数々の要職を務めるが、金への強硬政策が朝廷内の反発を買い失脚。文人としては歌辞文芸（朝鮮詞歌）、「詞」の作家として有名で、600余首に上る作品を残している。朱熹，陸游などとも親交があった。,南宋豪放派词人。字幼安，号稼轩。其词风格豪迈，充满了收复失地的满腔爱国热血。
曹植,そうしょく,cáo zhí,三国時代,192～232年。曹操の五男。曹操は武人としてだけではなく、文人としても優れ、この時代に五言の詩形、五言詩を確立させた。曹植はその才能のため、少々行き過ぎた言動を取りがちで、そのため曹操を激怒させ、後継者争いから落伍する事になった。曹操の死後は各地を転々とする不遇な境遇にあるも、その多彩な才能は埋もれる事無く、詩人としての成果物は「曹子建集」という作品集10巻に残されている。,三国曹魏文学家，字子建。曹操之子。才高八斗，其诗骨气奇高，辞采华茂，是建安文学的代表。
蘇軾,そしょく,sū shì,北宗,1037年1月8日～1101年8月24日。政治家、詩人、書家。東坡居士の号で親しまれる。21歳で科挙に、26歳で制科に合格。以後政争、流刑の生涯の中で優れた文才を発揮し、その詩は『東坡七集』に収められ、北宋時代最高の詩人とされている。また、書家としてもすぐれた作品を残し、「宗の四大家」と称される。「唐宋八大家」の一人でもある。,北宋中期的文坛领袖，“唐宋八大家”之一。字子瞻，号东坡居士。他在诗、词、散文、书画等方面均有极高成就。其词开创了豪放一派，打破了晚唐五代以来的婉约传统。他一生屡遭贬谪，却始终保持豁达、乐观的人生态度。他的作品不仅充满理趣，更蕴含着超然物外的人生哲学。代表作有《水调歌头》《赤壁赋》等。
張継,ちょうけい,zhāng xù,唐,"張継（ちょうけい）は中国中唐（8世紀）の詩人、官僚政治家。字は懿孫。生没年未詳。没年は779年の説あり。湖北省襄州（襄陽市襄州区）の出身。
753年（天宝12年）に進士に合格、安史の乱にさいして江南に逃れ、越州（浙江省紹興市）・杭州（浙江省杭州市）・潤州（江蘇省鎮江市）・蘇州（江蘇省蘇州市）などを歴遊する。初めは節度使の幕僚となり、のちに塩鉄判官となった。766年（大暦元年）ころ朝廷に入り、侍御史、検校祠部郎中に任じられた。770年、洪州（江西省南昌市）の地方官として転出、同地で没した。博識で議論好きな性格で、政治に明るく、公正な政治家だという評判があった。道士のような風貌であったという。
同じ中唐の詩人皇甫冉とは幼なじみで、劉長卿とも親交を持った。",唐代诗人。字信本。其《枫桥夜泊》描绘了秋夜水乡的静谧与忧愁，是中国文学史上的名篇。
張志和,ちょうしわ,zhāng zhì hé,唐,中唐の詩人。730～810年頃。字は子同。号して玄真子。州金華（現・浙江省）の人。待詔翰林学に任ぜらる。後、致仕して、江湖にあって隠棲とし、世俗の中にありながら煙波釣徒と称して、この詞のように脱俗的な日を過ごした。水上にむしろを敷いて座し、酒を飲み、詩を詠じ、鶴に乗って昇天したという。,唐代诗人、画家。字子同，初名龟龄，号玄真子。其《渔歌子》描绘了江南水乡的宁静生活。
