タイトル,作者名,時代,漢詩本文,和訳,解説
長歌行,楽府,前漢,"青青園中葵
朝露待日晞
陽春布德澤
萬物生光輝
常恐秋節至
焜黄華葉衰
百川東到海
何時復西歸
少壯不努力
老大徒傷悲","青々とした庭園の中の冬葵は
朝露の中、太陽が昇ってくるのを待つ。
春の太陽、その恩沢を得て
あらゆる物が輝きを発している。
ただ、常に秋の季節の到来を恐れ、
黄色く輝きながら葉は散ってゆく。
全ての川は東の海へ流れて行くが、
何時再び西へ戻って来るのだろうか。
若く元気な時に努力をしなければ、
年を取った後に、徒に痛み悲しむ事になる。",此诗通过对园中葵、朝露、百川归海的描写，慨叹时光流逝、生命短促，劝诫人们要珍惜青春，及时努力。
七歩詩,曹植,三国時代,"煮豆燃豆萁
豆在釜中泣
本是同根生
相煎何太急","豆を煮るのにその豆殻を燃やすが、
豆は釜の中で泣いている。
本来は同じ根から生長した兄弟なのに、
双方煮る事をどうしてそんなに急くのか。",此诗用豆和豆箕比喻同胞兄弟，通过诉说豆在釜中受煎熬的痛苦，表达了作者对曹丕加害自己的强烈抗议。
敕勒歌,民歌,北朝,"敕勒川、陰山下。
天似穹廬、籠蓋四野。
天蒼蒼、野茫茫、
風吹草低見牛羊。","敕勒の川は陰山の下を流れている。
天は穹廬（きゅうろ）に似て、四野を滔々と流れている。
天は青々として、野は草花で満ち満ちて、
風が吹き草が低くなびく隙間に間に牛や羊が見えている。",歌咏了北国草原壮丽富饶的风光，展现了敕勒族人豪放的性格，意境雄浑，被誉为“千古绝唱”。
咏鵝,駱賓王,唐,"鵝鵝鵝
曲項向天歌
白毛浮綠水
紅掌撥淸波","ガチョウよ、首を天空に向けて歌を歌う
雪のような白い羽毛を緑の水面に浮かせて
赤い足を軽々と漕いで透明な水面を波立たせる",这是骆宾王七岁时创作的诗，通过色彩鲜明的描写，生动地表现了白鹅在水中浮游时欢快、可爱的神情。
回郷偶書,賀知章,唐,"少小離家老大回
郷音無改鬢毛摧
児童相見不相識
笑問客従何処来","若い頃に家を出て、歳を経て戻って来た
時間は経って、自分のお国なまりはなくならなかったが、髪はすっかり衰え
子供達と顔を合わせても、お互いに誰なのか知らない
にこっと笑ってお客さんは何処から来たの？と私に訊ねる",描写作者老年回到阔别已久的家乡时的感慨，以“儿童相见不相识”的细节，写出了人事沧桑之感。
咏柳,賀知章,唐,"碧玉妆成一树高
万条垂下绿丝绦
不知细叶谁裁出
二月春风似剪刀","碧玉の装飾のような高い柳の木
たくさんの絹で織られたようにしなやかな緑の柳の枝が垂れ下がっている
一体誰がこの細く繊細な柳の葉を剪定したのだろうか？
きっと二月早春の器用なハサミのような風の仕業なのだろう",通过赞美柳树，表达了作者对盎然春意的喜爱之情。巧妙地运用了比喻，将春风比作剪刀，富有新意。
凉州詞(1),王之渙,清,"黄河远上白云间，一片孤城万仞山
羌笛何须怨杨柳，春风不度玉门关","ずっと西の方から流れる黄河はまるで白雲の間から流れてくるようだ
その辺りに聳える山に孤城がぽつんと立っている
羌族の吹く笛の音が別離の際に吹く『折楊柳』を奏でているが、ここ、玉門関には春風が届かないので
柳の葉が芽吹かず枝を折る事さえ出来ないのだが、それを責める必要はどこにもないだろう",描写了戍边将士的艰苦生活，表达了他们对家乡的深切思念。意境雄阔，情感激昂。
登鸛鵲楼,王之渙,清,"白日依山尽
黄河入海流
欲穷千里目
更上一层楼","夕陽が西の山に依って尽きようとし
黄河は東の海へ滔滔と流れ込んでいる
遥か彼方の風景を見たいと欲し
更に一階上へと上がって行った",全诗意境雄阔，气势磅礴。通过登高远眺，表达了只有站得高才能看得远的人生哲理。
春暁,孟浩然,唐,"春眠不覚暁
処処聞啼鳥
夜来風雨声
花落知多少","春の眠りは心地がよく、知らずの内に夜が明けた
どこからも鳥のさえずりが聞こえて来る
そういえば夜は雨交じりの風の音が聞こえていたけれど
どれほどの花が散ってしまったのかは知りようもない",诗人通过对春天早晨景象的描写，表现了诗人对自然、对生活的热爱。意境优美，平淡中见真淳。
宿建徳江,孟浩然,唐,"移舟泊烟渚
日暮客愁新
野曠天低樹
江清月近人","舟を川霧の立ち込める渚（水際）に停めて宿とする
日が暮れる様を見ていると旅の愁いが改めて胸に迫る
野は広々として、天は木々に触れるばかりに低くなり
川の水は清らかで、月をより人に親しみを感じさせてくれる",描写了在建德江边停泊时的秋江景色，抒发了诗人的思乡之情。全诗情景交融，含蓄深婉。
凉州詞(2),王翰,元,"葡萄美酒夜光杯
欲飲琵琶馬上催
酔臥沙場君莫笑
古来征戦幾人回","葡萄の美酒を、夜光杯に注ぐ
飲もうとすると馬上から琵琶が急き立てるように鳴り響く
酔いつぶれて砂漠に横たわったからといって笑ってくれるな
昔から戦争に行ってどれだけの人が生きて帰って来れたと言うのか",描写了边塞将士视死如归的豪迈之情。虽然环境艰苦，但全诗格调昂扬，毫无颓废之感。
从軍行,王昌齢,唐,"青海长云暗雪山
孤城遥望玉门关
黄沙百战穿金甲
不破楼兰终不还","青海湖の上空にある雲が雪山を暗く遮っている
孤城に立ち遥か遠方にある玉門関を眺めれればいいのだが
砂漠の荒野にて幾多の戦闘を戦い着用している鎧兜は綻びてはいるが
楼蘭を打ち滅ぼすまでは決して帰る事はない",表现了边塞将士誓死报国的壮志豪情。
竹里館,王維,宗,"独坐幽篁里
弹琴复长啸
深林人不知
明月来相照","一人静寂に包まれた奥深く薄暗い竹薮の中に座り
琴を引いたり口笛を吹いたりする
深い竹林の中はひっそりとし、知る者は誰もいない
唯何時までも私を照らしている月だけが私の事を知っている",描写诗人在竹林中独自弹琴长啸的情景，表现了一种恬淡自在、不随俗浮沉的隐逸生活。
別董大,高適,唐,"千里黄雲白日曛
北風吹雁雪紛紛
莫愁前路無知己
天下誰人不識君","見渡す限り重苦しい黄塵が立ち込め、太陽の光さえも薄暗く
北風は空ゆく雁の群れを南へと吹き送り、雪までこんこんと降りしきる
これからの旅路で故知がいない事を心配する必要は全くない
天下に君の名を知らない人は誰一人いないのだから",这是一首著名的送别诗。诗人以豪迈的语气安慰友人，表现出对他才华的高度肯定。
古朗月行,李白,唐,"小時不識月、呼作白玉盤
又疑瑤台鏡、飛在青云端
仙人垂兩足、桂樹何團團
白兔搗藥成、問言與誰餐

蟾蜍蝕圓影、大明夜已殘
羿昔落九烏、天人清且安
陰精此淪惑、去去不足觀
憂來其如何、淒愴摧心肝","小さい時分、月の事を何であるかまるで知らず、白い玉のお盆と呼んでいた
そして又楼台に住む仙女の使う鏡が空を飛んで青い雲の端にひっかかってるのかと思っていた
仙人が両足を垂らしているようにも見えたし桂の樹木が何と奥の奥までこんもり茂っている様にも見えた
白うさぎは仙薬を搗いて作り上げてるが、「いったいだれに食べさすの？」尋ねたものだ

だが、月の中に住むヒキガエルが月のまるい影を食べ、月明かりが眩しい夜に、欠けている部分が残っているのをはっきり見る事が出来る
大昔弓の名手の後羿が九羽のカラスを射落す事によって、天は清らかに、人びとは安らかになった
月は既に沈んで人を惑わせる事もなく、見る価値も無いからとっととここから去るべきである
心には憂慮と不安が巣食っているのに一体どこへ行けるのだろうか。悲惨な悲しみが私を苦しめるだけだ
（国の先行き等を憂えている唐詩だけど、あえて直訳的にしています）",通过儿童的视角描写月亮，想象奇特，充满了浪漫色彩。
独座敬亭山,李白,唐,"衆鳥高飛盡
孤雲獨去閒
相看兩不厭
只有敬亭山","群れなす鳥達は空高く飛んで行ってしまった。
唯一つ浮かんでいた離れ雲も流れ去り、空には何一つない青空が広がっている。
何時までも互いに眺めあって変わらず飽きが来ないのは、
唯一つ、敬亭山だけである。",诗人通过对敬亭山的描写，表达了自己孤独的心境以及与大自然心意相通的慰藉。
黄鶴楼送孟浩然之広陵,李白,唐,"故人西辞黄鶴楼
烟花三月下揚州
孤帆遠影碧空尽
唯見長江天際流","友人は黄鶴楼に別れを告げ西方に去って行く。
霞み立ち花咲く三月、揚州に向かって長江を下って行く。
唯一つ見える舟の帆が紺碧の空の下、だんだん遠ざかり消え失せた。
後にはただ長江が遥か空の下、水平線の彼方へと流れて行くのみ。",全诗意境开阔，色彩明丽。通过描写送别友人时的壮美景象，表达了诗人对朋友的深厚情谊。
秋浦歌,李白,唐,"白髪三千丈
縁愁似箇長
不知明鏡裏
何処得秋霜","私の白髪は三千丈程もあるだろうか。
長い間の憂いが原因でこんなにも伸びたのかも知れない。
鏡に映る自身の姿は全く知らない誰かを見るようだ。
どこでこんな、秋の霜のような白髪を得たのだろうか。",诗人运用极度夸张的手法，生动地表现了内心深沉の愁苦。
望天門山,李白,唐,"天門中断楚江開
碧水東流至北廻
両岸青山相対出
孤帆一片日辺来","天門山の中央を断ち切った様に楚江（長江）が開き、
エメラルド色の水が東から北に向きを変えて流れている。
両岸の青い山々は相対して迫っている。
西日の彼方から小さな帆かけ舟が一艘やって来るのが見えた。",描绘了长江天门山的壮丽景色，表现了诗人宽阔的胸怀和对大自然的赞美之情。
絶句,杜甫,唐,"遅日江山麗
春風花草香
泥融飛燕子
沙暖睡鴛鴦

江碧鳥逾白
山青花欲然
今春看又過
何日是帰年","春うららかな日は河も山も風光明媚で美しい。
春風が吹いては草花のよい香りが漂う。
泥は溶けて燕が飛び交い、
砂は暖かく、オシドリが安らかに眠っている。

河の水は青々として鳥はますます白く、
山は緑に花は燃えださんばかりに赤い花を咲かせている。
今年の春も見る見るうちに過ぎ去ろうとしている。
一体何時になったら故郷に帰れる日が来るのだろうか・・。",两首绝句通过鲜明的色彩对比和生动的景象描写，表现了成都春天的美景，同时也寄托了诗人浓浓的思乡之情。
贈花卿,杜甫,唐,"錦城絲管日紛紛
半入江風半入雲
此曲祗應天上有
人間能得幾回聞","成都では弦・管楽器の軽やかで抑揚がある音色がどこからも聞こえて来る。
半分は河から吹く風に乗って消え去り、半分は雲の合い間へと消えて行く。
この様な曲楽はただ天上にのみ有るべきもので、
人の世界においてどうして聞く事が出来るだろうか。",借赞美音乐之美，讽刺了僭越礼制的权贵。语带双关，委婉含蓄。
逢雪宿芙蓉山主人,劉長卿,唐,"日暮蒼山遠
天寒白屋貧
柴門聞犬吠
風雪夜帰人","雪に遭い芙蓉山のとある家に宿泊する。
日が暮れて、遠くに青い山が見える。
空は寒々として、今夜の宿は山中の粗末な家。
柴の門から犬の吠える声が聞こえて来る。
夜になって、風雪の中誰かが戻って来たようだ。",描写了旅人在风雪之夜寄宿山家的情景。语言朴素，却传递出山居生活的清冷与宁静。
江雪,柳宗元,唐,"千山鳥飛絶 
万径人蹤滅 
孤舟蓑笠翁 
独釣寒江雪 ","千の山から鳥が飛び去り、万の道から人の足跡が消えた。ぽつんと浮かぶ小舟の上、蓑と笠をかぶった老人が、雪の降る寒々とした川で一人釣り糸を垂れている。

※【一つの仮説としての解釈】
各句の文字を縦に読むと、1文字目は「千万孤独（絶対的な孤独）」、2文字目は「山径舟釣（風景と行動）」、3文字目は「鳥人蓑寒（存在と状態）」、4文字目は「飛踪笠江（動きと背景）」、そして末尾は「絶滅翁雪（無の世界に残された翁と雪）」となります。左遷された作者の極限の孤独を、5×4の完璧なマトリックス構造で隠した暗号だとする、非常に興味深い見方もあります。","全诗只有二十个字，却勾勒出一幅极其清冷、孤傲的雪天垂钓图，寄托了诗人不愿同流合污的志向。

※【引申解读（假说）】
有假说认为此诗不仅是“藏头诗”，更是一个精妙的矩阵：首字竖读“千万孤独”（绝对的心境），二字“山径舟钓”（客观的景与事），三字“鸟人蓑寒”（存在与状态），四字“飞踪笠江”（动态与背景），尾字“绝灭翁雪”（虚无中的残存）。这种解读虽为推测，却极具汉字矩阵之美，极其巧妙地折射出诗人被贬后绝对孤独的心境。"
